Date,Discharge_cfps
6/4/2019,277
6/5/2019,276
6/6/2019,275
6/7/2019,274
6/8/2019,272
6/9/2019,271
6/10/2019,267
6/11/2019,263
6/12/2019,265
6/13/2019,266
6/14/2019,266
6/15/2019,265
6/16/2019,264
6/17/2019,266
6/18/2019,268
6/19/2019,270
6/20/2019,266
6/21/2019,265
6/22/2019,259
6/23/2019,253
6/24/2019,248
6/25/2019,242
6/26/2019,239
6/27/2019,238
6/28/2019,238
6/29/2019,237
6/30/2019,235
7/1/2019,236
7/2/2019,237
7/3/2019,238
7/4/2019,239
7/5/2019,240
7/6/2019,238
7/7/2019,237
7/8/2019,234
7/9/2019,233
7/10/2019,232
7/11/2019,231
7/12/2019,233
7/13/2019,230
7/14/2019,227
7/15/2019,224
7/16/2019,224
7/17/2019,223
7/18/2019,222
7/19/2019,222
7/20/2019,223
7/21/2019,223
7/22/2019,220
7/23/2019,221
7/24/2019,222
7/25/2019,222
7/26/2019,223
7/27/2019,222
7/28/2019,222
7/29/2019,221
7/30/2019,220
7/31/2019,220
8/1/2019,220
8/2/2019,220
8/3/2019,221
8/4/2019,221
8/5/2019,220
8/6/2019,220
8/7/2019,222
8/8/2019,222
8/9/2019,223
8/10/2019,223
8/11/2019,222
8/12/2019,222
8/13/2019,222
8/14/2019,221
8/15/2019,220
8/16/2019,219
8/17/2019,217
8/18/2019,215
8/19/2019,213
8/20/2019,212
8/21/2019,210
8/22/2019,209
8/23/2019,206
8/24/2019,204
8/25/2019,203
8/26/2019,201
8/27/2019,199
8/28/2019,198
8/29/2019,198
8/30/2019,198
8/31/2019,199
9/1/2019,198
9/2/2019,196
9/3/2019,195
9/4/2019,195
9/5/2019,194
9/6/2019,194
9/7/2019,194
9/8/2019,194
9/9/2019,194
9/10/2019,194
9/11/2019,193
9/12/2019,192
9/13/2019,192
9/14/2019,193
9/15/2019,193
9/16/2019,192
9/17/2019,192
9/18/2019,191
9/19/2019,191
9/20/2019,193
9/21/2019,194
9/22/2019,194
9/23/2019,194
9/24/2019,193
9/25/2019,193
9/26/2019,193
9/27/2019,193
9/28/2019,192
9/29/2019,192
9/30/2019,189
10/1/2019,188
10/2/2019,186
10/3/2019,185
10/4/2019,185
10/5/2019,184
10/6/2019,182
10/7/2019,180
10/8/2019,178
10/9/2019,176
10/10/2019,175
10/11/2019,176
10/12/2019,176
10/13/2019,176
10/14/2019,176
10/15/2019,176
10/16/2019,176
10/17/2019,175
10/18/2019,174
10/19/2019,173
10/20/2019,172
10/21/2019,172
10/22/2019,173
10/23/2019,175
10/24/2019,178
10/25/2019,181
10/26/2019,184
10/27/2019,182
10/28/2019,181
10/29/2019,180
10/30/2019,180
10/31/2019,179
11/1/2019,180
11/2/2019,180
11/3/2019,181
11/4/2019,180
11/5/2019,180
11/6/2019,180
11/7/2019,180
11/8/2019,180
11/9/2019,179
11/10/2019,178
11/11/2019,177
11/12/2019,177
11/13/2019,178
11/14/2019,178
11/15/2019,178
11/16/2019,178
11/17/2019,178
11/18/2019,178
11/19/2019,179
11/20/2019,177
11/21/2019,176
11/22/2019,176
11/23/2019,177
11/24/2019,177
11/25/2019,176
11/26/2019,175
11/27/2019,174
11/28/2019,174
11/29/2019,174
11/30/2019,172
12/1/2019,171
12/2/2019,172
12/3/2019,172
12/4/2019,173
12/5/2019,172
12/6/2019,171
12/7/2019,170
12/8/2019,169
12/9/2019,169
12/10/2019,168
12/11/2019,168
12/12/2019,168
12/13/2019,167
12/14/2019,166
12/15/2019,166
12/16/2019,165
12/17/2019,164
12/18/2019,165
12/19/2019,166
12/20/2019,166
12/21/2019,165
12/22/2019,165
12/23/2019,164
12/24/2019,161
12/25/2019,160
12/26/2019,160
12/27/2019,159
12/28/2019,159
12/29/2019,158
12/30/2019,156
12/31/2019,155
1/1/2020,155
1/2/2020,154
1/3/2020,153
1/4/2020,152
1/5/2020,152
1/6/2020,152
1/7/2020,152
1/8/2020,152
1/9/2020,153
1/10/2020,156
1/11/2020,159
1/12/2020,162
1/13/2020,163
1/14/2020,163
1/15/2020,162
1/16/2020,162
1/17/2020,162
1/18/2020,161
1/19/2020,161
1/20/2020,160
1/21/2020,159
1/22/2020,160
1/23/2020,161
1/24/2020,162
1/25/2020,162
1/26/2020,162
1/27/2020,162
1/28/2020,162
1/29/2020,161
1/30/2020,160
1/31/2020,160
2/1/2020,160
2/2/2020,160
2/3/2020,160
2/4/2020,156
2/5/2020,153
2/6/2020,155
2/7/2020,155
2/8/2020,155
2/9/2020,156
2/10/2020,156
2/11/2020,155
2/12/2020,152
2/13/2020,150
2/14/2020,149
2/15/2020,150
2/16/2020,150
2/17/2020,151
2/18/2020,150
2/19/2020,149
2/20/2020,148
2/21/2020,148
2/22/2020,146
2/23/2020,145
2/24/2020,145
2/25/2020,144
2/26/2020,143
2/27/2020,142
2/28/2020,142
2/29/2020,141
3/1/2020,141
3/2/2020,140
3/3/2020,139
3/4/2020,142
3/5/2020,142
3/6/2020,144
3/7/2020,146
3/8/2020,147
3/9/2020,152
3/10/2020,151
3/11/2020,151
3/12/2020,151
3/13/2020,151
3/14/2020,150
3/15/2020,149
3/16/2020,150
3/17/2020,150
3/18/2020,151
3/19/2020,151
3/20/2020,151
3/21/2020,152
3/22/2020,152
3/23/2020,152
3/24/2020,151
3/25/2020,151
3/26/2020,150
3/27/2020,150
3/28/2020,150
3/29/2020,150
3/30/2020,149
3/31/2020,147
4/1/2020,147
4/2/2020,149
4/3/2020,152
4/4/2020,154
4/5/2020,159
4/6/2020,158
4/7/2020,157
4/8/2020,155
4/9/2020,154
4/10/2020,151
4/11/2020,149
4/12/2020,146
4/13/2020,143
4/14/2020,142
4/15/2020,141
4/16/2020,142
4/17/2020,142
4/18/2020,143
4/19/2020,144
4/20/2020,144
4/21/2020,144
4/22/2020,143
4/23/2020,143
4/24/2020,142
4/25/2020,142
4/26/2020,142
4/27/2020,142
4/28/2020,142
4/29/2020,143
4/30/2020,144
5/1/2020,145
5/2/2020,145
5/3/2020,145
5/4/2020,144
5/5/2020,143
5/6/2020,144
5/7/2020,144
5/8/2020,144
5/9/2020,144
5/10/2020,143
5/11/2020,143
5/12/2020,150
5/13/2020,151
5/14/2020,156
5/15/2020,160
5/16/2020,168
5/17/2020,170
5/18/2020,171
5/19/2020,172
5/20/2020,174
5/21/2020,175
5/22/2020,176
5/23/2020,177
5/24/2020,186
5/25/2020,187
5/26/2020,191
5/27/2020,198
5/28/2020,199
5/29/2020,200
5/30/2020,200
5/31/2020,199
6/1/2020,199
6/2/2020,198
6/3/2020,199
6/4/2020,200
6/5/2020,201
6/6/2020,199
6/7/2020,197
6/8/2020,195
6/9/2020,194
6/10/2020,193
6/11/2020,193
6/12/2020,193
6/13/2020,192
6/14/2020,191
6/15/2020,189
6/16/2020,189
6/17/2020,189
6/18/2020,189
6/19/2020,188
6/20/2020,188
6/21/2020,188
6/22/2020,188
6/23/2020,187
6/24/2020,187
6/25/2020,187
6/26/2020,187
6/27/2020,186
6/28/2020,185
6/29/2020,183
6/30/2020,182
7/1/2020,182
7/2/2020,181
7/3/2020,182
7/4/2020,182
7/5/2020,181
7/6/2020,180
7/7/2020,178
7/8/2020,177
7/9/2020,176
7/10/2020,175
7/11/2020,174
7/12/2020,172
7/13/2020,171
7/14/2020,171
7/15/2020,170
7/16/2020,170
7/17/2020,168
7/18/2020,167
7/19/2020,166
7/20/2020,165
7/21/2020,162
7/22/2020,162
7/23/2020,161
7/24/2020,161
7/25/2020,160
7/26/2020,158
7/27/2020,156
7/28/2020,154
7/29/2020,154
7/30/2020,155
7/31/2020,154
8/1/2020,152
8/2/2020,150
8/3/2020,148
8/4/2020,146
8/5/2020,144
8/6/2020,145
8/7/2020,146
8/8/2020,146
8/9/2020,146
8/10/2020,144
8/11/2020,143
8/12/2020,141
8/13/2020,140
8/14/2020,140
8/15/2020,139
8/16/2020,139
8/17/2020,138
8/18/2020,136
8/19/2020,135
8/20/2020,134
8/21/2020,134
8/22/2020,135
8/23/2020,136
8/24/2020,135
8/25/2020,135
8/26/2020,134
8/27/2020,134
8/28/2020,132
8/29/2020,132
8/30/2020,131
8/31/2020,131
9/1/2020,131
9/2/2020,131
9/3/2020,134
9/4/2020,134
9/5/2020,133
9/6/2020,132
9/7/2020,131
9/8/2020,133
9/9/2020,135
9/10/2020,137
9/11/2020,137
9/12/2020,136
9/13/2020,136
9/14/2020,136
9/15/2020,137
9/16/2020,137
9/17/2020,138
9/18/2020,138
9/19/2020,138
9/20/2020,138
9/21/2020,138
9/22/2020,138
9/23/2020,137
9/24/2020,137
9/25/2020,139
9/26/2020,138
9/27/2020,137
9/28/2020,136
9/29/2020,136
9/30/2020,137
10/1/2020,137
10/2/2020,137
10/3/2020,138
10/4/2020,138
10/5/2020,137
10/6/2020,137
10/7/2020,137
10/8/2020,137
10/9/2020,139
10/10/2020,138
10/11/2020,138
10/12/2020,137
10/13/2020,136
10/14/2020,136
10/15/2020,140
10/16/2020,141
10/17/2020,144
10/18/2020,145
10/19/2020,147
10/20/2020,147
10/21/2020,152
10/22/2020,152
10/23/2020,152
10/24/2020,154
10/25/2020,157
10/26/2020,159
10/27/2020,159
10/28/2020,162
10/29/2020,163
10/30/2020,165
10/31/2020,162
11/1/2020,158
11/2/2020,155
11/3/2020,152
11/4/2020,149
11/5/2020,146
11/6/2020,143
11/7/2020,140
11/8/2020,137
11/9/2020,134
11/10/2020,131
11/11/2020,129
11/12/2020,125
11/13/2020,124
11/14/2020,124
11/15/2020,124
11/16/2020,124
11/17/2020,124
11/18/2020,124
11/19/2020,125
11/20/2020,127
11/21/2020,127
11/22/2020,126
11/23/2020,126
11/24/2020,123
11/25/2020,123
11/26/2020,123
11/27/2020,123
11/28/2020,122
11/29/2020,122
11/30/2020,122
12/1/2020,122
12/2/2020,123
12/3/2020,123
12/4/2020,122
12/5/2020,122
12/6/2020,122
12/7/2020,121
12/8/2020,120
12/9/2020,121
12/10/2020,122
12/11/2020,122
12/12/2020,121
12/13/2020,121
12/14/2020,120
12/15/2020,120
12/16/2020,119
12/17/2020,120
12/18/2020,121
12/19/2020,122
12/20/2020,122
12/21/2020,122
12/22/2020,124
12/23/2020,123
12/24/2020,122
12/25/2020,122
12/26/2020,122
12/27/2020,122
12/28/2020,121
12/29/2020,121
12/30/2020,121
12/31/2020,119
1/1/2021,117
1/2/2021,117
1/3/2021,116
1/4/2021,116
1/5/2021,117
1/6/2021,118
1/7/2021,119
1/8/2021,120
1/9/2021,118
1/10/2021,120
1/11/2021,120
1/12/2021,120
1/13/2021,120
1/14/2021,120
1/15/2021,119
1/16/2021,119
1/17/2021,118
1/18/2021,118
1/19/2021,118
1/20/2021,118
1/21/2021,118
1/22/2021,118
1/23/2021,118
1/24/2021,117
1/25/2021,117
1/26/2021,116
1/27/2021,116
1/28/2021,115
1/29/2021,116
1/30/2021,115
1/31/2021,115
2/1/2021,114
2/2/2021,114
2/3/2021,114
2/4/2021,113
2/5/2021,113
2/6/2021,113
2/7/2021,113
2/8/2021,113
2/9/2021,112
2/10/2021,112
2/11/2021,112
2/12/2021,111
2/13/2021,110
2/14/2021,108
2/15/2021,107
2/16/2021,107
2/17/2021,106
2/18/2021,106
2/19/2021,107
2/20/2021,108
2/21/2021,109
2/22/2021,110
2/23/2021,110
2/24/2021,111
2/25/2021,111
2/26/2021,111
2/27/2021,110
2/28/2021,110
3/1/2021,109
3/2/2021,109
3/3/2021,109
3/4/2021,108
3/5/2021,108
3/6/2021,108
3/7/2021,108
3/8/2021,107
3/9/2021,108
3/10/2021,108
3/11/2021,108
3/12/2021,108
3/13/2021,108
3/14/2021,109
3/15/2021,109
3/16/2021,108
3/17/2021,108
3/18/2021,109
3/19/2021,109
3/20/2021,110
3/21/2021,110
3/22/2021,110
3/23/2021,110
3/24/2021,110
3/25/2021,110
3/26/2021,109
3/27/2021,108
3/28/2021,108
3/29/2021,107
3/30/2021,105
3/31/2021,103
4/1/2021,104
4/2/2021,104
4/3/2021,104
4/4/2021,103
4/5/2021,103
4/6/2021,102
4/7/2021,102
4/8/2021,102
4/9/2021,102
4/10/2021,102
4/11/2021,101
4/12/2021,100
4/13/2021,99
4/14/2021,100
4/15/2021,101
4/16/2021,101
4/17/2021,100
4/18/2021,100
4/19/2021,100
4/20/2021,100
4/21/2021,100
4/22/2021,101
4/23/2021,102
4/24/2021,103
4/25/2021,103
4/26/2021,103
4/27/2021,105
4/28/2021,106
4/29/2021,107
4/30/2021,111
5/1/2021,115
5/2/2021,119
5/3/2021,123
5/4/2021,127
5/5/2021,132
5/6/2021,132
5/7/2021,133
5/8/2021,132
5/9/2021,132
5/10/2021,131
5/11/2021,130
5/12/2021,129
5/13/2021,128
5/14/2021,127
5/15/2021,127
5/16/2021,126
5/17/2021,125
5/18/2021,132
5/19/2021,134
5/20/2021,139
5/21/2021,144
5/22/2021,150
5/23/2021,155
5/24/2021,156
5/25/2021,157
5/26/2021,158
5/27/2021,157
5/28/2021,156
5/29/2021,156
5/30/2021,155
5/31/2021,153
6/1/2021,154
6/2/2021,155
6/3/2021,161
6/4/2021,167
6/5/2021,173
6/6/2021,175
6/7/2021,180
6/8/2021,181
6/9/2021,181
6/10/2021,182
6/11/2021,180
6/12/2021,178
6/13/2021,177
6/14/2021,175
6/15/2021,175
6/16/2021,174
6/17/2021,174
6/18/2021,174
6/19/2021,172
6/20/2021,171
6/21/2021,169
6/22/2021,169
6/23/2021,168
6/24/2021,168
6/25/2021,167
6/26/2021,165
6/27/2021,164
6/28/2021,166
6/29/2021,168
6/30/2021,167
7/1/2021,170
7/2/2021,169
7/3/2021,168
7/4/2021,167
7/5/2021,166
7/6/2021,166
7/7/2021,166
7/8/2021,168
7/9/2021,168
7/10/2021,169
7/11/2021,169
7/12/2021,169
7/13/2021,169
7/14/2021,169
7/15/2021,169
7/16/2021,169
7/17/2021,169
7/18/2021,169
7/19/2021,169
7/20/2021,169
7/21/2021,170
7/22/2021,171
7/23/2021,172
7/24/2021,170
7/25/2021,169
7/26/2021,167
7/27/2021,166
7/28/2021,166
7/29/2021,166
7/30/2021,166
7/31/2021,165
8/1/2021,164
8/2/2021,166
8/3/2021,163
8/4/2021,164
8/5/2021,166
8/6/2021,166
8/7/2021,165
8/8/2021,165
8/9/2021,162
8/10/2021,160
8/11/2021,162
8/12/2021,162
8/13/2021,163
8/14/2021,162
8/15/2021,161
8/16/2021,160
8/17/2021,159
8/18/2021,159
8/19/2021,160
8/20/2021,161
8/21/2021,160
8/22/2021,159
8/23/2021,157
8/24/2021,156
8/25/2021,156
8/26/2021,156
8/27/2021,155
8/28/2021,154
8/29/2021,154
8/30/2021,153
8/31/2021,152
9/1/2021,152
9/2/2021,154
9/3/2021,155
9/4/2021,156
9/5/2021,156
9/6/2021,154
9/7/2021,153
9/8/2021,150
9/9/2021,150
9/10/2021,151
9/11/2021,151
9/12/2021,149
9/13/2021,148
9/14/2021,147
9/15/2021,146
9/16/2021,147
9/17/2021,147
9/18/2021,146
9/19/2021,146
9/20/2021,144
9/21/2021,142
9/22/2021,142
9/23/2021,142
9/24/2021,141
9/25/2021,140
9/26/2021,140
9/27/2021,139
9/28/2021,138
9/29/2021,138
9/30/2021,131
10/1/2021,136
10/2/2021,136
10/3/2021,135
10/4/2021,134
10/5/2021,134
10/6/2021,133
10/7/2021,133
10/8/2021,135
10/9/2021,137
10/10/2021,137
10/11/2021,137
10/12/2021,137
10/13/2021,160
10/14/2021,169
10/15/2021,178
10/16/2021,188
10/17/2021,197
10/18/2021,208
10/19/2021,219
10/20/2021,220
10/21/2021,220
10/22/2021,220
10/23/2021,220
10/24/2021,220
10/25/2021,218
10/26/2021,216
10/27/2021,216
10/28/2021,216
10/29/2021,213
10/30/2021,212
10/31/2021,211
11/1/2021,210
11/2/2021,209
11/3/2021,209
11/4/2021,209
11/5/2021,209
11/6/2021,208
11/7/2021,208
11/8/2021,207
11/9/2021,207
11/10/2021,208
11/11/2021,208
11/12/2021,208
11/13/2021,209
11/14/2021,210
11/15/2021,210
11/16/2021,210
11/17/2021,210
11/18/2021,209
11/19/2021,209
11/20/2021,210
11/21/2021,208
11/22/2021,207
11/23/2021,205
11/24/2021,199
11/25/2021,198
11/26/2021,197
11/27/2021,196
11/28/2021,195
11/29/2021,192
11/30/2021,188
12/1/2021,185
12/2/2021,182
12/3/2021,179
12/4/2021,177
12/5/2021,174
12/6/2021,172
12/7/2021,171
12/8/2021,170
12/9/2021,168
12/10/2021,167
12/11/2021,166
12/12/2021,165
12/13/2021,168
12/14/2021,172
12/15/2021,171
12/16/2021,173
12/17/2021,173
12/18/2021,178
12/19/2021,180
12/20/2021,183
12/21/2021,181
12/22/2021,184
12/23/2021,184
12/24/2021,184
12/25/2021,183
12/26/2021,183
12/27/2021,182
12/28/2021,180
12/29/2021,178
12/30/2021,177
12/31/2021,176
1/1/2022,174
1/2/2022,173
1/3/2022,174
1/4/2022,174
1/5/2022,174
1/6/2022,175
1/7/2022,174
1/8/2022,171
1/9/2022,169
1/10/2022,166
1/11/2022,164
1/12/2022,162
1/13/2022,160
1/14/2022,159
1/15/2022,157
1/16/2022,157
1/17/2022,157
1/18/2022,156
1/19/2022,156
1/20/2022,154
1/21/2022,153
1/22/2022,151
1/23/2022,150
1/24/2022,150
1/25/2022,151
1/26/2022,151
1/27/2022,150
1/28/2022,150
1/29/2022,147
1/30/2022,145
1/31/2022,146
2/1/2022,147
2/2/2022,147
2/3/2022,152
2/4/2022,158
2/5/2022,163
2/6/2022,169
2/7/2022,169
2/8/2022,169
2/9/2022,169
2/10/2022,172
2/11/2022,171
2/12/2022,170
2/13/2022,171
2/14/2022,172
2/15/2022,173
2/16/2022,173
2/17/2022,174
2/18/2022,174
2/19/2022,175
2/20/2022,175
2/21/2022,175
2/22/2022,175
2/23/2022,175
2/24/2022,174
2/25/2022,174
2/26/2022,174
2/27/2022,174
2/28/2022,173
3/1/2022,174
3/2/2022,174
3/3/2022,174
3/4/2022,174
3/5/2022,175
3/6/2022,174
3/7/2022,174
3/8/2022,174
3/9/2022,174
3/10/2022,172
3/11/2022,171
3/12/2022,174
3/13/2022,173
3/14/2022,172
3/15/2022,171
3/16/2022,172
3/17/2022,172
3/18/2022,171
3/19/2022,171
3/20/2022,171
3/21/2022,169
3/22/2022,167
3/23/2022,165
3/24/2022,167
3/25/2022,166
3/26/2022,165
3/27/2022,164
3/28/2022,163
3/29/2022,162
3/30/2022,160
3/31/2022,157
